SL.no,Date,Zone,Scope,Engineer,Project,BOQ,Subproduct-Description,Typology,Batch Qty,CL No,PI NO,Actual Qty,HO Qty,Actual Sqm,HO Sqm
19956,14/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1250,PI/06390,0,2,0,6.88
19957,14/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1221,PI/06390,0,13,0,53.89
19958,14/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1219,PI/06390,0,8,0,33.16
19959,14/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,H2V(CORNER VILLA),Curtain Wall,Non-Typical,Non Typical,16,1050-5F-CW-AL-007,PI/06195,0,1,0,22.03
19960,14/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,H2V(CORNER VILLA),Curtain Wall,Non-Typical,Non Typical,16,1050-5F-CW-AL-002,PI/06195,0,1,0,28.09
19961,14/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,H2V(CORNER VILLA),Curtain Wall,Non-Typical,Non Typical,16,1050-5F-CW-AL-001,PI/06195,0,1,0,14.12
19962,14/02/2026,BROWN,NON-SYSTEM,Ramki,S.One,Roof Louver,Louver,Non Typical,194,S1-RL-CL-11A & 11B,PI/05787,7,7,34.496,34.496
19963,14/02/2026,BROWN,NON-SYSTEM,Ramki,RSV,Roof Louver,Louver,Typical,168,"5A-RL-AL-001, 5C-RL-AL-001, 5CM-RL-AL-001",PI/03810,20,0,28.32,0
19964,14/02/2026,BROWN,NON-SYSTEM,Ramki,RSV,Internal Fin,Fin,Non Typical,62,5AM-INF-TYPFA-AL-002,PI/03147,6,0,22.887,0
19965,14/02/2026,BROWN,NON-SYSTEM,Ramki,RSV,Intermediate Fin (Rework)-Site Return,Fin,Non Typical,201,4C-INF-TYPL-AL-002,PI/02424,4,0,0,0
19966,14/02/2026,BROWN,NON-SYSTEM,Ramki,RSV,Swimming pool fence,MS Post,Typical,602,Z1B-SPF-AL-001,PI/01646,60,0,16.435,0
19967,14/02/2026,BROWN,NON-SYSTEM,Ramki,JLT,Perforated Sheet,Perforated Sheet,Non Typical,7,JLT-PERF-ACL-003,PI/06324,1,1,3.5,3.5
19968,14/02/2026,BROWN,NON-SYSTEM,Ramki,RSV,Roof Louver,Louver,Non Typical,378,4A-RL-AL-004,PI/03892,0,91,0,111.384
19969,14/02/2026,BROWN,NON-SYSTEM,Ramki,CVH,Vertical fin,Fin,Non Typical,203,CL-27 & 26E,PI/03322,0,13,0,20.961
19970,14/02/2026,BROWN,NON-SYSTEM,Ramki,CVH,Vertical fin,Fin,Non Typical,274,CL-26C & CL-28,PI/03511,0,38,0,150.009
19971,14/02/2026,Green ,Doors,Rakesh,ORBIS,LSD,SHUTTER,Typical,298,TB-SOT-LSD-01-CL-02,PI/05464,5,0,12.96,0
19972,14/02/2026,Green ,Doors,Rakesh,H2V P 1.1,LSD,SHUTTER,Non Typical,34,1050-5K-SD-AL-008,PI/04609,14,0,25.51,0
19973,14/02/2026,Green ,Doors,Rakesh,SONE,HD ,OUTER,Non Typical,285,S1(P3)-HD-CL-10,PI/04437,90,0,126.4,0
19974,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,CVH,Modular ACP,L TYPE,Non Typical,175,TA-VB21-ACL-008,PI/06337,11,0,43.2185,0
19975,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,CVH,Modular ACP,Non Typical,Non Typical,175,TA-VB20-ACL-013,PI/06337,4,0,8.1584,0
19976,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,CVH,Modular ACP,L TYPE,Non Typical,175,TA-VB21-ACL-008,PI/06337,2,0,7.8579,0
19977,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,CVH,Modular ACP,Double Panel,Non Typical,175,TA-VB18-ACL-013,PI/06337,2,0,5.3595,0
19978,14/02/2026,N - LINE - 3 (Ubed),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,139,ACL-2337,PI/06267,1,0,4.0305,0
19979,14/02/2026,N - LINE - 3 (Ubed),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,124,ACL-2534,PI/06432,2,0,4.9563,0
19980,14/02/2026,N - LINE - 3 (Ubed),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,124,ACL-2314,PI/06432,3,0,5.0001,0
19981,14/02/2026,N - LINE - 4 ( jacob),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-004,PI/06483,16,0,28.4653,0
19982,14/02/2026,N - LINE - 4 ( jacob),ACP,Renjith Krishnan,S One,Horizontal ACP,Non Typical,Non Typical,808,ACL-3021,PI/06309,2,0,2.8086,0
19983,14/02/2026,N - LINE - 4 ( jacob),ACP,Renjith Krishnan,S One,Vertical ACP,Typical,Typical,60,ACL-165-ACP,PI/06409,1,0,1.4211,0
19984,14/02/2026,N - LINE - 5 ( Thanseem),ACP,Renjith Krishnan,S One,Horizontal ACP,Non Typical,Non Typical,460,JLT-HB09-ACL-003,PI/06530,15,0,31.1556,0
19985,14/02/2026,N - LINE - 5 ( Thanseem),ACP,Renjith Krishnan,S One,Modular ACP,Projection,Non Typical,124,ACL-2532,PI/06432,1,0,4.106,0
19986,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-003,PI/06483,11,0,19.5699,0
19987,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,MS9,Vertical ACP,Typical,Typical,15,WO-VB-82-ACL-008,PI/06105,2,0,6.9716,0
19988,14/02/2026,N - LINE - 4 ( jacob),ACP,Renjith Krishnan,S One,Horizontal ACP,Non Typical,Non Typical,460,JLT-HB32-ACL-003,PI/06530,5,0,10.3852,0
19989,14/02/2026,N - LINE - 5 ( Thanseem),ACP,Renjith Krishnan,MS9,Horizontal ACP,Typical,Typical,134,WO-POD-2-H-ACP-001,PI/06070,6,6,9.2351,9.2351
19990,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,JLT,Modular ACP,C TYPE,Non Typical,270,JLT-VB26-ACL-050,PI/06444,0,4,0,16.513
19991,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,JLT,Modular ACP,C TYPE,Non Typical,270,JLT-VB35-ACL-054,PI/06444,0,3,0,12.3848
19992,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,JLT,Modular ACP,C TYPE,Non Typical,270,JLT-VB26-ACL-044,PI/06444,0,6,0,24.7696
19993,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,C TYPE,Non Typical,270,JLT-VB35-ACL-048,PI/06444,0,6,0,24.7696
19994,14/02/2026,N - LINE - 3 (Ubed),ACP,Renjith Krishnan,JLT,Modular ACP,Lightning,Non Typical,270,JLT-VB12-ACL-029,PI/06444,0,4,0,16.3682
19995,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,Typical,Typical,270,JLT-VB35-ACL-046,PI/06444,0,5,0,19.3878
19996,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB26-ACL-053,PI/06444,0,2,0,7.7551
19997,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB35-ACL-052,PI/06444,0,2,0,7.7551
19998,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB35-ACL-050,PI/06444,0,2,0,7.7551
19999,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB33-ACL-031,PI/06444,0,2,0,7.1534
20000,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB28-ACL-031,PI/06444,0,2,0,7.1534
20001,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB33-ACL-030,PI/06444,0,1,0,3.8776
20002,14/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB28-ACL-028,PI/06444,0,1,0,3.5767
20003,14/02/2026,N - LINE - 2 ( Aswin),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-003,PI/06483,0,23,0,40.9189
20004,14/02/2026,N - LINE - 4 ( jacob),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-004,PI/06483,0,45,0,80.0588
20005,14/02/2026,D - LINE 6 (Mano),ACP,Renjith Krishnan,A06,Modular ACP,Typical,Typical,272,A06-ACP-AL-011,PI/05936,24,0,81.0029,0
20006,14/02/2026,D - LINE 6 (Mano),ACP,Renjith Krishnan,A06,Modular ACP,Typical,Typical,272,A06-ACP-AL-008,PI/05936,3,0,10.1254,0
20007,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB33-ACL-028,PI/06444,1,0,3.5767,0
20008,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB28-ACL-033,PI/06444,2,0,7.1534,0
20009,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB35-ACL-047,PI/06444,1,0,3.8776,0
20010,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB35-ACL-045,PI/06444,1,0,3.8776,0
20011,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-003,PI/06483,2,0,3.5582,0
20012,14/02/2026,D - LINE 4 (Jibin),ACP,Renjith Krishnan,S One,Horizontal ACP,Non Typical,Non Typical,808,ACL-3377,PI/06309,8,0,11.2343,0
20013,14/02/2026,D - LINE 4 (Jibin),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-004,PI/06483,16,0,28.4653,0
20014,14/02/2026,D - LINE 1 (Vikas),ACP,Renjith Krishnan,MS9,Conventional ACP,Non Typical,Non Typical,61,WO-VB62-ACP-005,PI/06251,1,0,1.2387,0
20015,14/02/2026,D - LINE 1 (Vikas),ACP,Renjith Krishnan,MS9,Conventional ACP,Non Typical,Non Typical,61,WO-VB66-ACP-006,PI/06251,1,0,1.2387,0
20016,14/02/2026,D - LINE 1 (Vikas),ACP,Renjith Krishnan,CVH,Modular ACP,Non Typical,Non Typical,60,TA-VB44-VB45-VB46-VB47-ACL-036,PI/05996,10,0,34.5846,0
20017,14/02/2026,D - LINE 7 (Afsal),ACP,Renjith Krishnan,JLT,Horizontal ACP,Typical,Typical,460,JLT-HB07-ACL-003,PI/06530,25,0,51.9261,0
20018,14/02/2026,D - LINE 7 (Afsal),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB26-ACL-050,PI/06444,3,0,12.3848,0
20019,14/02/2026,D - LINE 3 (Nithin),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-003,PI/06483,26,0,46.2562,0
20020,14/02/2026,D - LINE 3 (Nithin),ACP,Renjith Krishnan,S R Club House,Curved ACP,Non Typical,Non Typical,2,CC-CL-06,PI/06430,2,2,2.0039,2.0039
20021,14/02/2026,D - LINE 2 (Rajan),ACP,Renjith Krishnan,CVH,Horizontal ACP,Typical,Typical,119,1035-TWA-ACP-039A,PI/05791,1,0,1.5433,0
20022,14/02/2026,D - LINE 2 (Rajan),ACP,Renjith Krishnan,CVH,Modular ACP,Typical,Typical,169,TA-Z3-VB02-ACL-002,PI/06240,1,0,3.1808,0
20023,14/02/2026,D - LINE 2 (Rajan),ACP,Renjith Krishnan,CVH,Modular ACP,Typical,Typical,169,TA-Z3-VB01-ACL-002,PI/06240,1,0,4.5726,0
20024,14/02/2026,D - LINE 2 (Rajan),ACP,Renjith Krishnan,CVH,Modular ACP,Non Typical,Non Typical,175,TA-VB22-ACL-008,PI/06337,4,0,12.8834,0
20025,14/02/2026,D - LINE 2 (Rajan),ACP,Renjith Krishnan,JLT,Modular ACP,Lightning,Non Typical,270,JLT-VB12-ACL-029,PI/06444,1,0,4.092,0
20026,14/02/2026,D - LINE 2 (Rajan),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,54,JLT-VB12-ACL-013,PI/06358,0,1,0,4.0312
20027,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB33-ACL-033,PI/06444,0,2,0,7.1534
20028,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB28-ACL-033,PI/06444,0,2,0,7.1534
20029,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB14-ACL-024,PI/06444,0,1,0,3.4319
20030,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB35-ACL-047,PI/06444,0,1,0,3.8776
20031,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB35-ACL-045,PI/06444,0,1,0,3.8776
20032,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB33-ACL-028,PI/06444,0,1,0,3.5767
20033,14/02/2026,D - LINE 5 (Akhil Dev),ACP,Renjith Krishnan,JLT,Modular ACP,BMU,Non Typical,270,JLT-VB28-ACL-030,PI/06444,0,1,0,3.5767
20034,14/02/2026,D - LINE 7 (Afsal),ACP,Renjith Krishnan,JLT,Modular ACP,Non Typical,Non Typical,270,JLT-VB26-ACL-050,PI/06444,0,5,0,20.6413
20035,14/02/2026,D - LINE 2 (Rajan),ACP,Renjith Krishnan,JLT,Modular ACP,Lightning,Non Typical,270,JLT-VB12-ACL-029,PI/06444,0,1,0,4.092
20036,14/02/2026,D - LINE 3 (Nithin),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-003,PI/06483,0,34,0,60.4889
20037,14/02/2026,D - LINE 4 (Jibin),ACP,Renjith Krishnan,JLT,Conventional ACP,Typical,Typical,176,JLT-CON-ACP-004,PI/06483,0,16,0,28.4653
20038,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1233,PI/06390,1,0,4.57,0
20039,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-525,PI/06418,3,0,20.37,0
20040,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-524,PI/06418,4,0,69.37,0
20041,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-517,PI/06418,2,0,9.92,0
20042,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-518,PI/06418,1,0,11.46,0
20043,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-513,PI/06418,1,0,4.96,0
20044,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-519,PI/06418,1,0,11.98,0
20045,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-530,PI/06418,2,0,32.71,0
20046,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-527,PI/06418,2,0,32.71,0
20047,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-529,PI/06418,2,0,29.86,0
20048,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,A07,Curtain Wall,Non-Typical,Typical,210,A07-CW03-FS-AL-013,PI/06151,50,0,224.64,0
20049,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1216,PI/06390,1,0,2.91,0
20050,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1(P3)-CW-CL-907,PI/06390,1,0,12.15,0
20051,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1(P3)-CW-CL-909,PI/06390,1,0,5.2,0
20052,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1227,PI/06390,1,0,4.66,0
20053,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1251,PI/06390,1,0,5.95,0
20054,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1244,PI/06390,1,0,5.65,0
20055,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1(P3)-CW-CL-910,PI/06390,1,0,5.41,0
20056,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-533,PI/06418,0,2,0,13.58
20057,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-516,PI/06418,0,2,0,12.24
20058,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,31,S1(P2)-CW-CL-528,PI/06418,0,2,0,33.29
20059,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1220,PI/06390,0,3,0,12.44
20060,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1245,PI/06390,0,2,0,8.29
20061,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1217,PI/06390,0,2,0,2.92
20062,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1254,PI/06390,0,2,0,9.44
20063,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1231,PI/06390,0,2,0,9.92
20064,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1(P3)-CW-CL-891,PI/06390,0,1,0,9.98
20065,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1(P3)-CW-CL-908,PI/06390,0,1,0,7.8
20066,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1(P3)-CW-CL-899,PI/06390,0,1,0,5.08
20067,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Non Typical,136,S1-CW-CL-1229,PI/06390,0,7,0,14.94
20068,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,A07,Curtain Wall,Non-Typical,Typical,210,A07-CW02-FS-AL-008,PI/06151,0,5,0,21.99
20069,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,A07,Curtain Wall,Non-Typical,Non Typical,210,A07-CW04-FS-AL-008,PI/06151,0,45,0,197.87
20070,16/02/2026,Navy Blue & (Orange),WW/SCW,Thangavel,TOBLERONR,Curtain Wall,Non-Typical,Non Typical,115,1053-TB-CW-AL-002,PI/06211,0,5,0,20.58
20071,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20072,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20073,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20074,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20075,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20076,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20077,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20078,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,109,1047-UCW-AL-MN-040,PI/05659,1,1,6.08,6.08
20079,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Non Typical,8,1047-LOU-AL-MN-002,PI/06453,1,1,6.08,6.08
20080,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Non Typical,8,1047-LOU-AL-MN-002,PI/06453,1,1,6.08,6.08
20081,16/02/2026,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Non Typical,8,1047-LOU-AL-MN-002,PI/06453,1,1,6.08,6.08
20082,16/02/2026,Green ,Doors,Rakesh,ORBIS,LSD,SHUTTER,Typical,298,TB-SOT-LSD-01-CL-02,PI/05464,15,0,38.88,0
20083,16/02/2026,Green ,Doors,Rakesh,H2V P 1.1,LSD,SHUTTER,Non Typical,34,1050-5K-SD-AL-008,PI/04609,14,0,25.51,0
20084,16/02/2026,Green ,Doors,Rakesh,Toblerone,HD,Outer,Typical,168,0,PI/06467,60,0,86.64,0
20085,16/02/2026,Green ,Doors,Rakesh,BFV,SD,OUTER,Non Typical,61,6B-SD-AL-007,PI/5639,8,0,46.98,0
20086,16/02/2026,White,ACP,Mr.SYED,JLT,Conventional ACP,ACP Runner,Typical,464,JLT-ACP-AL-14,PI/06170,120,120,12.01,12.01
20087,16/02/2026,White,UCW,Mr.SYED,Global Square,Curtain Wall,UCW-BRKT,Typical,8055,1047-UCW-AL-MN-036,PI/05368,392,392,0,0
20088,16/02/2026,White,UCW,Mr.SYED,Global Square,Curtain Wall,UCW-BRKT,Typical,309,1047-UCW-AL-MN-027,PI/05228,30,30,2.15,2.15
20089,16/02/2026,White,NON-SYSTEM,Mr.VINOTH,MS9,Balustrade,Flashing,Typical,148,WO-EL3-LVL1-POD-FLASH-003,PI/06564,76,76,16.87,16.87
20090,16/02/2026,White,NON-SYSTEM,Mr.VINOTH,Toblorene,Balustrade,F Channel,Typical,154,1052-TC-GB-ACL-002,PI/06652,65,65,50.08,50.08
20091,16/02/2026,White,NON-SYSTEM,Mr.VINOTH,S One,Balustrade,F Channel,Typical,83,S1-INGBL-CL-06,PI/06662,43,43,46.44,46.44
20092,16/02/2026,White,NON-SYSTEM,Mr.VINOTH,S One,Balustrade,Flashing,Typical,376,S1(P1)-GBL-FLS-CL-08,PI/06613,200,200,41.98,41.98
20093,16/02/2026,L1.,UCW,Mr.VINOTH,Global Square,UCW,Fin,Typical,305,1047-UCW-AL-MN-039,PI/05528,120,120,40.28,40.28
20094,16/02/2026,L1.,ACP,Mr.VINOTH,MS9,Conventional ACP,ACP Runner,Typical,433,WO-CAN-AL-RU-CL-01,PI/06477,83,83,9.66,9.66
20095,16/02/2026,BROWN,Non-System,Ramki,RSV,Swimming pool fence,MS Post,Typical,602,Z1B-SPF-AL-001,PI/01646,60,0,16.435,0
20096,16/02/2026,BROWN,Non-System,Ramki,CVH,Vertical fin,Fin,Non Typical,232 & 335,CL-16/CL-21/CL-19/CL-22,PI/02469,8,0,0,0
20097,16/02/2026,BROWN,Non-System,Ramki,CVH,Roof Louver,Louver,Typical,2,CL-39,PI/04813,2,0,7.452,0
20098,16/02/2026,BROWN,Non-System,Ramki,RSV,Roof Louver,Louver,Typical,168,"5A-RL-AL-001, 5C-RL-AL-001, 5CM-RL-AL-001",PI/03810,12,50,16.992,70.8
20099,16/02/2026,BROWN,Non-System,Ramki,RSV,Roof Louver,Louver,Typical,378,4A-RL-AL-004,PI/03892,7,0,8.568,0
20100,16/02/2026,BROWN,Non-System,Ramki,S.One,Vertical fin,Fin,Typical,174,"S1-VER-FIN-CL-15, 16 & 17",PI/04998,0,5,0,19.75
20101,16/02/2026,BROWN,Non-System,Ramki,RSV,Internal Fin,Fin,Typical,62,5AM-INF-TYPFA-AL-002,PI/03147,0,4,0,15.258
20102,16/02/2026,BROWN,Non-System,Ramki,CVH,Vertical fin,Fin,Typical,203,CL-27 & 26E,PI/03322,0,12,0,19.349
20103,16/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,CVH,Modular ACP,Double Panel,Non Typical,175,TA-VB18-ACL-013,PI/06337,4,0,10.72,0
20104,16/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,CVH,Modular ACP,Double Panel,Non Typical,175,TA-VB17-Z03-ACL-013,PI/06337,2,0,5.81,0
20105,16/02/2026,N - LINE - 1 (Anbu),ACP,Renjith Krishnan,CVH,Modular ACP,Double Panel,Non Typical,175,TA-VB23-ACL-008,PI/06337,4,0,12.62,0
